player_id,league,appearances,matches_started,minutes_played,goals,assists,expected_goals,expected_assists,rating,total_shots,shots_on_target,yellow_cards,red_cards,tackles,interceptions,saves
1065261,Serie A,23,14,1281,2,1,3.3709,1.45411867,6.7434782608696,38,13,2,0,19,6,0
905381,Serie A,21,9,805,2,2,2.9433,0.52576948,6.5285714285714,23,5,2,0,7,1,0
971005,Serie A,27,17,1516,3,4,2.1255,2.3798555,6.9518518518519,24,6,3,1,30,8,0
793645,Serie A,31,24,1915,8,1,8.4122,0.98936488,6.8548387096774,75,28,2,0,16,7,0
294597,Serie A,25,8,915,2,2,2.2899,1.78923689,6.836,28,8,2,0,7,4,0
1162611,Serie A,13,5,478,0,3,0.6574,0.36901782,6.4538461538462,11,1,1,0,7,2,0
814882,Serie A,26,18,1654,2,0,0.8797,2.12574855,7.1615384615385,20,2,1,0,28,15,0
907152,Serie A,22,13,1245,1,0,0.6277,1.13135,6.7190476190476,11,2,5,1,19,10,0
115516,Serie A,24,21,1791,1,2,0.8438,0.90658114,6.875,6,1,5,0,54,14,0
826064,Serie A,23,15,1272,5,1,2.3994,1.19199932,6.6782608695652,33,13,1,0,18,4,0
928796,Serie A,23,14,1235,2,1,1.6197,0.65702707,6.6086956521739,23,9,1,1,33,18,0
909991,Serie A,26,17,1384,0,1,0.6769,1.50642461,6.62,8,1,3,0,18,8,0
818481,Serie A,25,22,1940,1,0,0.8941,0.34360594,6.988,7,2,4,0,34,31,0
902031,Serie A,17,9,788,1,0,0.2411,0.77501955,6.89375,6,2,1,0,9,10,0
855829,Serie A,27,24,2168,1,2,0.4724,3.80679397,6.9703703703704,11,4,6,0,37,31,0
928104,Serie A,28,16,1711,0,2,0.4335,2.43118373,6.6678571428571,11,1,2,0,25,19,0
1085913,Serie A,18,14,1311,0,0,0.3603,0.11987508,6.7722222222222,8,2,3,0,35,10,0
933264,Serie A,23,21,1916,0,0,1.0865,0.11402488,6.6826086956522,10,2,0,1,27,19,0
1486808,Serie A,1,1,68,0,0,,0.00330671,6.6,0,0,0,0,1,0,0
98212,Serie A,10,7,627,0,1,0.2016,1.44664538,6.74,7,2,3,0,14,5,0
862697,Serie A,12,8,684,0,0,0.74,0.18139864,6.6416666666667,5,0,0,0,7,7,0
14718,Serie A,9,4,328,0,0,,0.08732179,6.7444444444444,0,0,2,0,1,4,0
44906,Serie A,17,17,1414,0,0,,0.01965895,6.7882352941176,0,0,1,1,0,0,30
850952,Serie A,16,15,1379,0,0,,0.02345385,7.225,0,0,4,0,3,1,52
1530540,Serie A,2,1,172,0,0,,0.00198946,7.1,0,0,0,0,0,0,2
960080,Serie A,22,12,1083,1,1,2.1258,0.41429249,6.4545454545455,11,6,1,0,12,3,0
35428,Serie A,24,7,785,3,1,2.1596,1.16718625,6.7583333333333,17,7,4,0,9,2,0
970928,Serie A,17,11,850,1,1,2.1935,1.01345194,6.6941176470588,20,5,1,0,12,3,0
293581,Serie A,25,25,2054,3,0,4.0652,2.36723066,6.96,34,14,6,1,37,18,0
976381,Serie A,26,17,1439,4,1,3.9881,0.96309204,6.7923076923077,41,15,0,0,15,7,0
1101942,Serie A,8,2,228,0,0,0.5896,0.02491113,6.525,6,1,0,0,3,1,0
1017649,Serie A,26,17,1475,4,2,3.7689,1.58767058,6.8884615384615,36,14,4,0,34,23,0
1069244,Serie A,24,5,801,3,0,3.4723,0.49254507,6.7375,25,9,2,1,5,2,0
1389689,Serie A,12,4,522,0,1,0.1294,0.88849093,6.6636363636364,1,1,1,1,10,2,0
959806,Serie A,14,14,1222,3,2,2.037,0.85402036,6.9357142857143,16,6,4,0,21,10,0
910121,Serie A,19,9,921,0,0,0.5636,0.28582404,6.5,7,1,0,0,16,2,0
937324,Serie A,8,4,342,0,1,0.0302,0.97839075,7.1625,1,0,2,0,9,6,0
798002,Serie A,18,18,1296,2,2,1.38,1.55305911,6.8111111111111,28,11,0,1,16,9,0
317301,Serie A,27,24,1992,3,3,2.9865,1.43547014,6.8740740740741,26,7,6,0,34,21,0
944973,Serie A,20,15,1299,0,0,0.617,1.79759537,6.91,15,1,3,0,25,16,0
227864,Serie A,28,27,2338,0,0,1.2905,0.4084455,7.0214285714286,7,3,5,0,23,29,0
965828,Serie A,28,28,2290,0,0,0.9422,0.62193586,7.2678571428571,11,3,3,1,44,23,0
826186,Serie A,21,14,1220,0,0,0.5082,1.26047297,6.6714285714286,5,3,6,0,25,14,0
136322,Serie A,5,1,170,0,0,,0.03313169,6.45,0,0,0,0,2,2,0
267619,Serie A,29,28,2447,1,2,1.261,1.38667736,6.7344827586207,14,7,1,1,35,29,0
273405,Serie A,19,8,835,0,0,0.1504,0.24351443,6.6421052631579,4,2,2,0,9,6,0
1160559,Serie A,21,10,1195,0,0,0.2032,0.18847527,6.9809523809524,3,1,2,0,9,11,0
217784,Serie A,11,4,513,0,0,0.2135,0.14654995,6.8545454545455,3,0,1,0,1,4,0
308182,Serie A,27,27,2430,0,0,,0.03482578,7.1777777777778,0,0,1,0,0,0,90
